length;mse;model
8;99231865.55035968;(((0.1514078081 * X1) + ((-0.0592573509) * X2)) + (((0.8492302299 * X1) ^ 2) + ((-0.6776304245) * X2)))
7;inf;((((0.8438318372 * X1) ^ 2) + ((-0.7379882336) * X2)) + exp((0.1497063190 * X1)))
6;98317281.32788186;((((-0.7379882336) * X2) + ((0.8472660184 * X1) ^ 2)) + (0.1514078081 * X1))
4;98023248.94697873;((((-0.8467670083) * X1) ^ 2) + ((-0.7379882336) * X2))
2;14.723498033062127;exp(((-0.0592573509) * X2))
3;inf;exp(((0.4348021746 * X1) ^ 2))
10;8.099874814244324e+30;((1.4539726973 ^ (2.2610020638 + (0.1544127613 * X1))) + ((((-0.8099093437) * X1) ^ 2) + ((-0.6746487021) * X2)))
1;6.829894238894385;2.6867468357
9;inf;((exp((0.1497063190 * X1)) + ((-0.0453113392) * X2)) + ((((-0.8453751802) * X1) ^ 2) + ((-0.6961361766) * X2)))
8;96732657.58056754;(((0.1497063190 * X1) + ((-0.0509501994) * X2)) + (((0.8438318372 * X1) ^ 2) + ((-0.6776304245) * X2)))
7;inf;((((-0.7489578724) * X2) + ((0.8469730616 * X1) ^ 2)) + exp((0.1497063190 * X1)))
6;98085210.73494036;(((((-0.8467670083) * X1) ^ 2) + ((-0.7379882336) * X2)) + (0.1497063190 * X1))
4;99588107.63097718;(((-0.7234944701) * X2) + ((0.8501264453 * X1) ^ 2))
2;14.426548944921826;exp(((-0.1147804335) * X2))
3;inf;exp((((-0.4350647330) * X1) ^ 2))
10;inf;((exp(exp((0.0497229695 * X1))) + ((-0.3873312175) + ((-0.6746125817) * X2))) + ((0.8065071702 * X1) ^ 2))
1;4.856975689178891;3.5489635468
8;96664031.81254296;(((0.1497063190 * X1) + ((-0.0509501994) * X2)) + (((0.8436821103 * X1) ^ 2) + ((-0.6776304245) * X2)))
7;inf;((((-0.7489578724) * X2) + ((0.8469142914 * X1) ^ 2)) + exp((0.1497063190 * X1)))
6;97998340.55794394;((((0.8465794325 * X1) ^ 2) + ((-0.7379882336) * X2)) + (0.1497063190 * X1))
