length;mse;model
20;nan;(((-0.0038130160) * X1) + ((((exp((0.9545415640 * X2)) + ((((-8.9077968597) * X1) + exp((0.2583293915 * X2))) * (0.3790642023 * X1))) * (0.0164508503 * X1)) + (2.7862999439 * X1)) * (exp((0.1356069744 * X2)) + ((-0.3666882515) * X2))))
1;8.93865236822176;7.9546813965
12;inf;((exp(((-0.3775146604) * X2)) * (0.5921862125 * X1)) * ((((-0.0300624706) * X1) * (0.7341285944 * X1)) + (1.0307340622 + (0.0958823487 * X2))))
18;nan;((((exp((0.9543550014 * X2)) + ((((-11.3308286667) * X1) + exp((0.2618681490 * X2))) * (0.3028599918 * X1))) * (0.0161634404 * X1)) + (2.7846758366 * X1)) * (exp((0.1352599263 * X2)) + ((-0.3657699823) * X2)))
8;nan;(((-0.9942941070) * X1) * (log(abs(log(abs(((-0.0254548825) * X1))))) * exp(((-0.2817152739) * X2))))
7;nan;(((-0.9283998013) * X1) * (log(abs(((-0.0307196695) * X1))) * exp(((-0.2787703276) * X2))))
9;inf;(exp((((-0.0233585816) * X1) * (1.0505617857 * X1))) * ((2.9214611053 * X1) * exp(((-0.2734089792) * X2))))
10;47.33893077860541;exp(((0.0087775951 * X1) * (exp((((-0.0233585816) * X1) * (1.0505617857 * X1))) * exp(((-0.2787703276) * X2)))))
4;inf;((1.8678754568 * X1) * exp(((-0.2756823301) * X2)))
3;47.50748558668839;sqrt(exp(((-0.0150405020) * X1)))
2;47.42507919817852;exp(((-0.0016753450) * X1))
13;nan;((exp((0.0767030045 * X2)) + (((-0.0302257463) * X1) * (0.7010098696 * X1))) * ((2.9174599648 * X1) * (exp(((-0.3604637086) * X2)) + ((-0.0021156233) * X2))))
11;inf;((exp((0.0767030045 * X2)) + (((-0.0302257463) * X1) * (0.7010098696 * X1))) * ((2.9174599648 * X1) * exp(((-0.3775146604) * X2))))
6;nan;(((-0.2701551914) * X1) * (log(abs(((-0.0006443548) * X1))) + (0.8045089245 * X2)))
17;nan;((((((-0.0310946237) * X1) * (0.7341285944 * X1)) + exp((0.0019688930 * X1))) * ((2.6005446911 * X1) * (exp(((-0.2798036635) * X2)) + ((-0.0221093670) * X2)))) + (7.2816443443 + (0.2932454348 * X1)))
15;nan;((((exp((0.9521970153 * X2)) + (((-1.2584221363) * X1) * (2.6666164398 * X1))) * (0.0165552683 * X1)) + (2.7849390507 * X1)) * (exp((0.1356069744 * X2)) + ((-0.3664472103) * X2)))
5;inf;exp(((0.0087775951 * X1) * exp(((-0.2813423276) * X2))))
14;nan;((0.2933468819 * X1) + ((((((-0.0722939521) * X1) * (0.7341285944 * X1)) * (1.3937953711 * X1)) + (3.2381103039 * X1)) * (exp(((-0.2357506901) * X2)) + (-0.2018979788))))
19;nan;(7.2365269661 + ((((exp((0.9535069466 * X2)) + ((((-4.0475935936) * X1) + (0.3860175610 * X2)) * (0.8230441213 * X1))) * (0.0166948345 * X1)) + (2.7870161533 * X1)) * (exp((0.1357906014 * X2)) + ((-0.3671687245) * X2))))
1;9.29567057418219;6.3113121986
12;inf;(((2.8292748928 * X1) * exp(((-0.3773337901) * X2))) * ((((-4.4002599716) * X1) * (0.0049544894 * X1)) + (1.0307340622 + (0.0958823487 * X2))))
18;nan;((((exp((0.9457321763 * X2)) + ((((-12.5368576050) * X1) + exp((0.3392356038 * X2))) * (0.2539889812 * X1))) * (0.0174621139 * X1)) + (2.7858333588 * X1)) * (exp((0.1359701604 * X2)) + ((-0.3675909638) * X2)))
9;inf;((2.2059288025 * X1) * (exp((((-0.0233585816) * X1) * (1.0505617857 * X1))) * exp(((-0.2787703276) * X2))))
8;nan;(log(abs(log(abs(((-0.0254548825) * X1))))) * ((2.9214611053 * X1) * exp(((-0.2820672095) * X2))))
10;nan;((((((-0.0517821796) * X1) * (0.7341285944 * X1)) * (1.3872036934 * X1)) + (2.7732145786 * X1)) * exp(((-0.2701213360) * X2)))
11;nan;(exp(((-0.3775146604) * X2)) * ((2.9711184502 * X1) * (exp((0.0765554532 * X2)) + (((-0.0240482967) * X1) * (0.8809100389 * X1)))))
5;2.0360605117977926e+72;(((-0.7966527939) * X1) * (0.7292486429 ^ (0.8685116768 * X2)))
4;1.644841724674933e+73;(((-0.7946739197) * X1) * exp(((-0.2757754028) * X2)))
3;47.425822996540624;sqrt(exp(((-0.0034543315) * X1)))
2;47.415931895110845;exp(((-0.0010713893) * X1))
15;nan;((((exp((0.9521970153 * X2)) + (((-1.2584221363) * X1) * (2.6666164398 * X1))) * (0.0165552683 * X1)) + (2.7777338028 * X1)) * (exp((0.1356523633 * X2)) + ((-0.3665064871) * X2)))
7;nan;(((-0.9283998013) * X1) * (log(abs(((-0.0307196695) * X1))) * exp(((-0.2794879973) * X2))))
17;nan;(7.2368855476 + ((((exp((0.9521970153 * X2)) + (((-1.2584221363) * X1) * (2.6666164398 * X1))) * (0.0165552683 * X1)) + (2.7777338028 * X1)) * (exp((0.1347460896 * X2)) + ((-0.3645976484) * X2))))
16;47.390394409371304;exp(((0.0018202404 * X1) * ((exp(((-0.2405882031) * X2)) + (((-0.0332634524) * X1) * ((exp(((-0.2154869139) * X2)) + ((-0.0393074155) * X2)) * (0.5921862125 * X1)))) + ((-0.0149834342) * X2))))
13;inf;((exp((0.0758366957 * X2)) + (((-0.0308879260) * X1) * (0.6851285100 * X1))) * ((2.9160852432 * X1) * (exp(((-0.3592368066) * X2)) + ((-0.0021454073) * X2))))
6;nan;(((-0.2838952541) * X1) * (log(abs(((-0.0009198979) * X1))) + (0.7362299562 * X2)))
14;nan;((0.2933468819 * X1) + ((((((-0.0589013658) * X1) * (0.7282894254 * X1)) * (1.3827095032 * X1)) + (2.6010987759 * X1)) * (exp(((-0.2798661888) * X2)) + ((-0.0220190920) * X2))))
20;nan;(7.2380619049 + ((((exp((0.9543550014 * X2)) + ((((-11.3308286667) * X1) + exp((0.2618681490 * X2))) * (0.3028599918 * X1))) * (0.0161634404 * X1)) + (2.7846758366 * X1)) * (exp((0.1352599263 * X2)) + ((-0.3657699823) * X2))))
1;8.543988429887756;7.5789508820
12;inf;(((2.8292748928 * X1) * exp(((-0.3738808334) * X2))) * ((((-0.0277887378) * X1) * (0.7685834765 * X1)) + (1.0307340622 + (0.0958823487 * X2))))
18;nan;((((exp((0.9534175396 * X2)) + ((((-12.7142457962) * X1) + exp((0.3565697372 * X2))) * (0.2706352770 * X1))) * (0.0161185618 * X1)) + (2.7839138508 * X1)) * (exp((0.1351264417 * X2)) + ((-0.3654118776) * X2)))
8;nan;(((-0.9283998013) * X1) * (log(abs(log(abs(((-0.0254548825) * X1))))) * exp(((-0.2824153900) * X2))))
7;nan;(((-0.9283998013) * X1) * (log(abs(((-0.0307196695) * X1))) * exp(((-0.2807690203) * X2))))
9;inf;(exp((((-0.0233585816) * X1) * (1.0505617857 * X1))) * ((2.1372265816 * X1) * exp(((-0.2794879973) * X2))))
10;inf;(exp((((-0.0233585816) * X1) * (1.0505617857 * X1))) * ((0.7331857085 ^ (0.8876922131 * X2)) * (2.0466647148 * X1)))
4;inf;((2.1377875805 * X1) * exp(((-0.2759624124) * X2)))
3;47.41302562415257;sqrt(exp(((-0.0016753450) * X1)))
2;47.412284516020684;exp(((-0.0008104520) * X1))
13;inf;((exp((0.0797036216 * X2)) + (((-0.0307367910) * X1) * (0.6925110221 * X1))) * ((2.9226701260 * X1) * (exp(((-0.3647457957) * X2)) + ((-0.0019945460) * X2))))
11;inf;(((2.7861056328 * X1) * exp(((-0.3740162849) * X2))) * (exp((0.0767030045 * X2)) + (((-0.0302257463) * X1) * (0.7010098696 * X1))))
6;nan;(((-0.2849787474) * X1) * (log(abs(((-0.0009449610) * X1))) + (0.7316092253 * X2)))
